TIPO DE PRODUCTO:,Gravámenes Vigentes,Ad / Valorem,Impuesto Selectivo al Consumo,Impuesto General a las Ventas,Impuesto de Promoción Municipal,Derecho Específicos,Derecho Antidumping,Seguro,Sobretasa Tributo,Unidad de Medida:,Sobretasa Sanción,hs_code
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,2.5%,0%,(*),N.A.,6701000000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2.5%,0%,(*),N.A.,6702100000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2.5%,0%,(*),N.A.,6702900000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,2.5%,0%,(*),N.A.,6703000000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2.5%,0%,(*),N.A.,6704110000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2.5%,0%,(*),N.A.,6704200000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2.5%,0%,(*),N.A.,6704900000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,6802100000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,6802210000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,6802230000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,6802920000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,6802930000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,6802990000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,6804100000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,6804210000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8113000000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8201100000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8201300000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8201401000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8201409000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8201500000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8201601000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8201609000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8201901000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8201909000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8202101000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8202109000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8202310000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8202390000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8202400000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8202990000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8203100000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8203200000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8203400000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8205100000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8205200000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8205401000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8205409000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8205510000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8205591000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8205592000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8205593000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8205596000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8205599100
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8205599200
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8205599900
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8205601000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8205609000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4002209200
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4002311000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4002319200
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4002391000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4002399200
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4002410000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4002492000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4002510000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4002592000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4002601000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4002609100
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4002609200
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4002701000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4002709100
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4002709200
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4002800000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4002991010
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4002991090
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4003000000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4005100000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4005200010
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4005200090
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4005919000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4005999000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4006100000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4007000000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4008111000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4008190000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4008211000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4008212900
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4008290000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4009110000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4009120000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4009210000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4009220000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4009310000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4009320000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4009410000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4009420000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4010110000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4010120000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5210390000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,S,1.75%,0%,(*),N.A.,5210410000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,S,1.75%,0%,(*),N.A.,5210510000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,S,1.75%,0%,(*),N.A.,5211110000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5211190000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,S,1.75%,0%,(*),N.A.,5211310000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5211320000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,S,1.75%,0%,(*),N.A.,5211410000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5211430000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,S,1.75%,0%,(*),N.A.,5211510000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5211520000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5211590000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5212110000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5212120000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5212130000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5212150000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5212210000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5212230000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5212240000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5301100000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5301210000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5301290000
  LEY 31651 29.12.2022-D.LEG.1519 30.12.2021-LEY 31105 31.12.2020-D.URG.24-2019-12.12.19-LEY 30899 28.,Valor,0%,0%,0%,0%,N.A.,N.A.,1.75%,0%,(*),N.A.,5302100000
  LEY 31651 29.12.2022-D.LEG.1519 30.12.2021-LEY 31105 31.12.2020-D.URG.24-2019-12.12.19-LEY 30899 28.,Valor,0%,0%,0%,0%,N.A.,N.A.,1.75%,0%,(*),N.A.,5302900000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,0%,0%,N.A.,N.A.,1.75%,0%,(*),N.A.,5303100000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,0%,0%,N.A.,N.A.,1.75%,0%,(*),N.A.,5303903000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,0%,0%,N.A.,N.A.,1.75%,0%,(*),N.A.,5303909000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5306100000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5307100000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,6804220000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,6804230000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,6804300000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,6%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,6805100000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,6%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,6805200000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,6%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,6805300000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,6806100000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,6806900000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,6807100000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,6807900000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,6809110000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,6809190000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,6%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,6809900000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,6810110000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,6810190000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,6810990000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,6814900000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,6815200000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,6901000000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,6902201000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,6902209000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8207300000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8207400000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8207500000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8207600000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8207700000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8207800000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8207900000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8208100000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8208200000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8208300000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8208900000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8209001000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8210001000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8210009000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8211100000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8211920000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8211931000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,6%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8211941000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,6%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8211949000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8211950000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8212101000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8212102000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8212900000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,3%,0%,(*),N.A.,8213000000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8214100000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8214200000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8214901000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,6%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8214909000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8215100000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8215200000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8215990000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8301100000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8301200000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8301401000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8301409000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,6%,0%,16%,2%,N.A.,N.A.,2.75%,0%,(*),N.A.,8301600000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4010310000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4010320000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4010330000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4010340000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4010350000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4010360000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4010390000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4011300000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4011400000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4011500000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4012120000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4012130000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4012190000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4012200000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,4012901000
